"""Stiftungsverzeichnis Mecklenburg-Vorpommern Nummer 18439"""
"01880430723, Finanzamt Fulda"
093741310079
093741320032
093741340054
093741370006
093741400084
093741460139
093741480042
093741550033
093741650028
093741680098
093751130083
093751170007
093751180015
093751180294
093751190296
093751200164
093751480262
093751480295
093751700174
093751740033
093751820021
093751820103
093751830034
093751830209
093751900525
093751900540
093751900627
093751910024
093751910082
093751990031
093752080090
093752090056
093752100093
093752100208
09376
093761160006
093761160252
093761190008
093761190125
093761190357
093761250118
093761250146
093761440011
093761440049
093761440284
093761460007
093761460068
093761470089
093761470166
093761470343
093761470404
093761490085
093761490117
093761490420
093761510183
093761510341
093761530190
093761600168
093761610240
093761610260
093761610406
093761610572
093761614050
093761630089
093761730114
093771120206
093771120357
093771170143
093771290218
093771290275
093771370098
093771390120
093771410007
093771410115
093771460307
093771460308
093771460353
093771460487
093771480169
093771540009
093771540038
093771540043
093771540067
093771540077
093771540214
093771580049
093771590019
093771590114
093771590121
093771590129
09385
09387
09405
09423
09427
09429
09437
09456
094620000318
094640000086
09465
094711310035
094711420295
094711850069
094711850317
094711850507
094711890341
094711950121
094721180588
094721270155
094721270393
094721540479
094721540767
094721560291
094721560358
094721640178
094721640190
094721750558
094721751008
094721790312
094721800249
094721970699
094721990302
094731440005
094731440012
094731440325
094731440499
094731650031
09474
09474124 (AGS)
094741320124
094741380037
094741600020
094751130247
094751130282
094751230071
094751610113
094751610163
094751650032
094751650265
094751680026
094751690133
094751740045
094751820036
094751890219
094761640288
09476175
094771580145
094771640010
09478000
094781390715
09478165
094781650679
094791290051
094791290107
094791350036
094791360077
094791360375
094791450018
094791520519
094791590120
094791660011
094791660121
09479169 Gemeindeschlüssel
09481
09484
09487
09496
09509
09514
095224500028
09526
09544
09548
09557
09561000
095630000116
0956300115
095640000206
095640001102
095640001753
095711130012
095711270116
095711300013
095711350084
095711360410
095711370050
095711450126
095711450498
095711450555
095711540061
095711650087
095711710021
095711740096
095711750006
095711770235
095711770353
095711880084
095711890073
095711900076
095711930278
095711940088
095711980015
095711990073
095712050071
095712050084
095712080046
095712140152
095712140378
095712180127
095712250211
095712260140
095712260142
095712270099
095712280114
095721320001
095721390107
095721420040
095721430119
095721590143
095721640165
095721640243
09572260057
09573
095731270029
095741280327
09575
09575 116 0183
095751120390
095751130193
095751150202
095751160261
095751210230
095751240113
095751450146
095751460349
095751470048
095751570023
095751630044
095751660099
095751680057
095751680351
095751680482
095761110014
095761110202
095761110252
095761130149
095761220332
095761220414
095761260027
095761420077
095761420370
095761480602
095771200210
095771200265
095771250634
095771360240
095771360494
095771360522
095771620442
095771620518
095771660099
095771720002
095771720122
095771730153
095771770675
09599
09603
09618
09623
09627
09629
09633
09648
09661
09661000
09661000 (Gemeindeschlüssel)
09663000
096630000119
09669
096711110004
096711480022
096721260068
096721340057
096721350017
096721390322
096721610048
096721610234
096731140156
096731330010
096731360226
096731360239
096731410506
096731420130
096731510035
096731730139
096741200069
096741210002
096741210006
096741330012
096741710017
096741710019
096742010107
096751120012
096751390020
096751650174
096751670121
096751770054
096751780070
096761120133
096761190177
096761310161
096761390074
096771190126
096771480251
096771480618
096771510167
09677155 (Gemeindeschlüssel)
096772030243
096781300052
096781350083
096781500234
096781600052
096781680208
096781700005
096781810031
096791170087
096791220119
096791340048
096791340153
096791380128
096791430020
096791460047
096791700054
096791700248
096791760052
096791880052
096792000150
096792010043
0969819-3
097610000245
097610000609
097630000155
097630000247
097640000146
097711120127
097711130280
097711130342
097711140171
097711220230
097711220288
097711400142
097711440098
097711440154
097711450054
097711450110
097711560376
097711560380
097711580031
097711600117
097711630027
097711680056
097721210200
097721250021
097721470027
097721710159
097721770104
097721770261
097722070082
097722140067
097722150004
097722150005
097731160014
097731220316
097731220327
097731220580
097731250079
097731250330
097731250777
097731330032
097731330044
097731360016
097731370123
097731390134
097731390168
097731440023
097731470041
097731500011
097731500112
097731530066
097731640165
097731790226
097731820194
097731820242
097731820314
097731830102
097731860144
097741150060
097741150106
097741210037
097741210141
097741240003
097741330069
097741350252
097741660125
097751110195
097751180025
097751290191
097751420124
097761140112
09776116
097761160315
09776128
097761290033
097771120114
097771140057
097771180154
097771190112
097771240068
097771250035
097771300037
097771310039
097771350013
097771350030
097771350079
097771380003
097771380014
097771390003
097771390046
097771510239
097771520025
097771540171
097771540182
097771540201
097771550015
097771750221
097771750239
097771760012
097781160126
097781190090
097781300001
097781370152
097781440283
097781490019
097781580137
097781830007
097781880063
097781900044
097781960005
097782180010
097782180057
097791110172
097791170062
097791380073
097791470392
097791480033
097791550308
097791670169
097791760133
097791770134
097791840028
097791850217
097791860417
097791860427
097791920012
097791940240
097791940677
097792010117
097792010134
097792010167
097792010218
097792010220
097792010427
097792060018
097792240045
097792260015
097792310024
097792310119
097801120080
09780113
097801140057
097801140076
097801150092
097801240002
097801240155
09780133
097801330012
097801340023
097801340041
097801370183
097801430340
1
1. FC Kaiserslautern e.V. | 67663
1. Löhner Kartoffelhaus | 32584
100 366
10000
100021
10003
100034
100042
100056
100057
100067
100122
100125
100142
10015238
100166
1002
10020
1002000
100213
10023
100234
100254
100272HL
1002916/3223
1003000
100320
10032HL
10033HL
100348
100380
10038HL
10041100
10042/04903
100421
100425
100441160106
100475
10048
10048/07003
100484
10049
100490
1005
10053/00693
10053/07737
10053/09329
1005300073
1005309329
10056/00409
10056/02267
10056/03740
10056/05639
1005601764
1005606117
10057/00019
10057/10053
1005701077
100577
100583
10059
10059/07142
100604297
10062
1006257/3004/270146
1006257/3004/270153
1006257/3004/270161
100651
100652
10066
100669144
100669168
100669545
10067
100670767
100686492
100686694
100687411
100687825
100687967
100689423
100690214
100690924
100691067
100691209
100691753
100691831
100693216
100693271
100693323
100694322
100694526
100694619
100694655
100694695
100697678
10070 / 02301
100706925
100707747
1007311/3223
10078
1008
100840
10088
100883
100894
1009
100957
100960
101/108/08017
10104/20825
101042
101092
101122
10115
10117
101177
10119
101213
101246/103642
10129
10129 AG Fürth
10133/01082
10137319
101385
1014
101457
101464
10154/05424
10165
101652
101691
101694
10170119/3004/270147
101722
101760/3004/270158
10177
10178
10179
101859
101869
101890
1019
1019114/3224
101956
10196
101969
102 Betriebsges. mbH | 41460
102/267/11258
102066
10209 HRB
1021714/3128
10218
10229
1023
10230
10231
10239
1023910/3223
102410
10243
10245
10247
10249
102494
1026
10260
102623
10265HL
102660
10266HL
102689
1027
1027111/3129/2
1027111/3129/4
1027111/3129/5
1027111/3129/6
10274
1029
10293
102931
102947
1029519/3223
1029616
102967
102975
1030
103066
1030710615
10313770252
10317
10319
103198
1032
103277
10331
1033315/3004/270157
1034
103461
1035
10361
103621
103635
10364
103644
10365
103679
10369
1037
10372
10374/01409
10375
10376
103764 B
1038
10385
10388 Bochum
1039
10395/00165
103951
10397
103976
104/191/02860
1040
104014
10404
10405
104087
10409
104177
104218
10424
104243
10426
104312
10435
10437
104383
1044
104414
104453
10446
10453
104545
10462
10463
10466
10472
104724
104765
104776
10483
10486
10490/06084
10492/04151
10494/00654
10495
10498
10501
1051011
1052
10522
105255
105263
10533
105437
1055
1055012
10551
10553
105542
10555
10557
105576
10558482695
10559
10563
10565
105684
105689
105727
10573
105776
105841
105849
10585
105885
105887
10589
10590
10591
105920
105942
105975
106/107/02347
1060
1060063
106068
1061
10611
10615
1062
1062101
10623
10625
10627
10629
10638
10639
106390
106394
10646
10653
106595
10662
106635
10677
106828
106852
10686
106923
106960
10697
107/230/00268
107/299/07982
107/460/02489
107/5732/0463
10707
10709
10711
10713
10714
10717
10719
1072
10720
107236
10729
10729907982
10733
107334
107376
10740
107506
10751
10757
107595
107635
107677
10773
107744
10777
10781
107823
10783
10785
10787
10789
107930
107932
10798
107998 B
10808
10809
108113
10816
10823
10827
10829
10834
10844796
108452
1085 NM
108537
10862
108642
108686
108765
10892
108984
108992
109
109/234/50381
109119
10912
1093
109322
1094
10940
109442
109571
10961
10963
109649
10965
109660
10967
109676
10969
109761
10980
10981
109861
10997
10999
10EBS1003A
11/087/02063
11/091/07110
11/288/05808
110/254/90594
11001/06072
11003/04470
11003/04868
11003/05133
11003/05542
11003/08706
11004/11588
11006/02355
110088
11010/20402
11016/01459
1101600386
110204
11026
110294
1103037232025
110313
110323
110335
110343
11035
110383
1104
11040
11041
11047
110491
11051/36468
11058
11059/80496
110629
110629B
110631
11064
110737
11077No
11081
110817
110823
11087/00125
11087/03706
11087/08453
11087/13599
11087/28177
11087/30202
1108700656
110878
11088/02962
11088/06231
11088/07569
11088/08888
11088/11541
1108803123
110885
11089/09295
11089/09906
11089/13694
1108907401
11090/21333
11090/26091
11090/31393
11090/36307
110903
11091
11091/00364
11091/00437
11091/05449
1109102606
11092
111/152/54202
111/264/00065
1110
11105
111053
1111
111108728667
111108801808
111164
11119
1112
111200
11125
1113024960873
111315230305
111316912037
111355
111398737
111403
11141
111412859510
111420
111448773
11147
11151
111553
111618127710
111655345
111664
111667775
11167
1117
111710
11172
111821
112/106/04342
112/152/56903
112009221
11202
112035773
112060386
112060597
112115
11212
112131004845572311
1122
112208760
11221
112243
112338277
1124
112403857
11241
112416087
11243
112434
11244
1125
11257
11266
112676
112688
1127
112825
11287
11288
1129/005/60055
1129/005/61027
11298
1130/005/75041
1130/005/76625
1130/024/84750
1130/036/77930
1130/057/75134
1130/073/75301
1130/092/50049
1130/092/50081
1130/100/77113
1130/178/02525
1130/212/52220
1130/213/41359
1130/213/52005
1130/216/50130
1130/223/50171
1130/227/50408
1130/230/50830
1130/241/50560
1130/249/52478
1130/252/51702
1130/254/36327
1130/254/36564
1130/254/51916
1130/262/51340
1130/263/50323
1130/271/50793
1130/271/50866
1130/285/50463
1130/286/50493
1130/288/51229
1130/298/50685
1130/342/50357
1130/347/50443
1130/36050142
1130/414/50617
1130/418/50511
1130/422/51404
1130/438/50332
1130/440/50589
1130/445/51272
1130/445/51469
1130/446/50069
1130/447/51133
1130/453 / 32110
1130/458/50897
1130/475/50199
1130/479/35480
1130/481/50469
1130/532/51070
1130/536/50351
1130/553/33617
1130/553/51342
1130/553/51539
1130/554/50902
1130/556/50326
1130/565/50996
1130/569/51021
1130/571/51596
1130/599/50398
1130/604/50008
11300
11300 / 26060
11300/06943
11301
11301/16046
11303 / 00166
11303 / 02762
11303 / 03667
113031782
113037830145
113117
113121
113155
11319/09038
1132021700638
11321
11323
11324
113249910398
11326
1133
113408
113427844
11345
11347
113476357
11349
11350/00256
11351
11353
113530620
113531028
11355/00391
113556236
113557
113559
11357032026
113571
11359431077
113605371
113667
113701451394
1138
113806
113818418251
113844612
11385/06080
113853244
11389/09265
11389/09771
113906
11393/10546
113980
11398645
114
114 812 733
114/108/07108
114/191/65621
11407
11410/08030
114109138
114121871
114145118
114159171
114174957
114179215
114180839
1142
114213
114221809895
114222678
11423
114233316
114233324
114233365
1142338
114235586
114236509
114237413
11425
114257
114358
114380093
11445/05023
11447
114485
114488
11452/04425
1146
11462
114620420
11464
114671655
11468
114695
114707273
11477
114836
11484
114840
11486/12780
11486/12898
11493/01568
114952
114993
115/110/70238
1150
11503
115074 (München)
11507595
115082
1151
1152
115232
11528
115308908549
115309165409
11542
115487
1155
11552
11558
1156
11560
11562
115657
115671
11587
11589
116
11606
1161
116110121355
116204
11627
116287
116298
116328
11634
11635
116434
116507
116565
11665
11670
116729
1168
11680
116852
11690
116989 B
116994
117
117 889 627
117/110/00056
117/130/60323
11704
11706
11707
11709
1171032814004
117107
11714
1172
11720
11721
11725
11733
117471
117536
11758
11762
11763
117645
117786
11779
117810
11789
117921
117937515
11794
11795
118/105/46346
118089
11813
11815
118193
118202
118359
118361
11838
118408
118471
1185
11852
118563737
118567343
118577943
118598369
118617193533
11873
118746
118813536
118817
118856456
118889
118893
118895069
1189
118934
11894
118944384
118964
119/111/17411
119/299/14793
119000000862
119000000893
119000000895
11906
1191
11911
119165
119186
1191W
119206655
11921
11921 HL
119255557
11927
11929
119359853
1194 IZ
11941
11946
11951
119563
11959
1196
11962
119643 B
119661833
119671
119692335
1197
119716
119724
119740
119900902436
12 0 61 164
12 0 62 024
12 0 64
12 0 64 128
12 0 64 5412
12 0 65 256
12 0 66 320
12 0 67 357
12 0 69 656
12 0 69 665
12 0 70 316
12 0 71 044
12 0 71 244
12 0 71 5102
12 0 72 002
12 0 72 169
12 0 73 008
12 0 73 5310
12 Apostel | 40724
120
120/5750/0043
12000
120000110
120050750
12011022809
120154
12023
120252
120274404
12031 / 00490
12031/00666
12031/03773
12035/03955
120378
12038
120389246
12039
12041/02901
12041/10806
12041/20111
12042 / 10253
12042 / 18573
12042 / 30136
12042/09161
12043
12045
12047
120492566
120501117
12051
12053
12055
120550
12057
12059
1206000011
12061
12063000
120648511
120653
120682999
12071
12071000
120734720033
120873
120881353
1209
12090
12093
120949
12095
120961
120989459
12099
121
121/272/41064
121006670
12101
12102/20813
12103
12105
12107
12109
12109/12488
12112/25130
1211422634
12115
121169
12117
121176
1213
121306
1213822024
12141
121446
12157
12157584805
12159
1216
12160/18902
12161
12163
121638238
12164
12165
121652663
12166/16643
12167
12169
1216906313
121718
121773
12179/04480
12179/05537
12179/13714
12179/17034
12179/27930
12179/55601
12179/61488
12179/67570
12179/75121
12179/82040
12179/86262
12179/87689
12179/88407
12179/93445
12179/97088
1217951916
1217956644
1217988407
12181/10621
12181/20656
12181/20699
12182/02609
12184/04007
12184/17662
12185/01029
12185/02205
12189
12195
12203
12205
12207
12209
1221
1221000760
1221000828
1221000996
1221001478
1221001638
1221001900
1221002288
1221002390
12215
12217
1222
12220
122255
122286650
1223
122349719
12236
12238
1224
12240
12247
12249
122527808
122528501
122540743
12255
12259
12260
12261
122635
12265
122654606
122661926
122698
1227 HU
12277
122776183
122777975
122782030
12279
1228
12284
1229
12293
12294
122942667
12295
12305
123058551
12307
123098315
12316
12317
1232
12333
123368
12337
123370068
123388
1234
12342
12345
12347
123480858
12351
12353
12355
12357
12359
123595
123596
1236
12362
12366
12367
1237
123713
1238
123fit Fitness Rahlstedt Inh. Maik Piekarski | 22149
124 CB
124004
12416
124196
1242
124225
124290968
124327
12439
124458235
124459
12459
1246
124609218
12463
12464
124654565
124659
12466
124688
124796150
12487
12488
12489
12494
12502
12509
125096
12511
125136
12515916200
125182
125224745
12524
12526
12527
125280
12529
125342534
12546
12552
12555
12557
125683593
12572
125725049
12578
125817
125869
12589
1259
12590
126/5731/2468
12601
126051
1261
126108
126119
12619
1262
12621
12623
126239898
12627
126309
126318093
12634
126492
126571 B AG Charlottenburg
12669
12679
1268
12681
12682
12683
126877942
12692
126960882
127
12702
127042
12706
12708
12711
127170
12720
12728
12735
127362
127366
1274
127416783
127427195
12747
127470073
127475131
1275
1275 HRB
12752
127546116
127617
12762
127645211
127682
1277
12773
12776
12780
1279
128
128007
12802
1281
12811
128236566
128243047
128246
12830
128325
128328
12833
128336
12839
1284
128407451
12841
12854
128544132
12858244580
128644309
12872
128756
128787
12879
128790607
128867
1289
128969595
129 613 200 244
129 620 240 037
129 620 240 281
129 624 530 046
129 641 280 002
129 643 030 023
129 643 400 057
129 663 200 136
129 663 200 143
129 671 370 025
129 710 760 035
129 713 040 022
129003905
129093373
12910
1292 Amtsgericht Korbach
129270293
129279135
129291117
1293
129300022
129314336
129325940
129331 B
129331B
12934
129346040
129370885
129390
129394308
129397443
129408173
129425199
129469200
129474726
129485903
129490446
129498217
129517449
129530000075
129540000045
129540000302
129540000323
12954000299
129600050014
129600340008
129600400005
129600760005
129601540012
129601980013
129602080007
129602500022
129602690018
12961
129612170031
129612170032
129612170038
129612440004
129613160046
129613200032
129613290079
129613290106
129613290130
129615100013
129620920095
129622320027
129624610001
129624610008
129625000114
129630880019
129631340008
129631340013
129632080009
129632080105
129632080137
129632120004
129632280015
129633080011
129633570006
129640280014
129640290013
129640440053
129640440092
129640570002
129641280038
129642200001
129642270012
129642740028
129642740082
129642900001
129643170048
129643400057
129643650002
129643880016
129644920008
129645080006
129645380007
129645380014
129645390009
129651170015
129651650102
129651980016
129651980043
129653010041
129653100003
129653100032
129653560023
129653560042
129660520082
129661960151
129663200002
129663200136
129663200143
129663200153
129663200175
129671370029
129671370064
129671480001
129672240006
129672360003
129673570069
129674000002
129674260082
129674380001
129681320004
129683200001
129683240034
129683530044
129684260003
129684680024
129684680051
129684680067
129690200071
129690760024
129691640002
129694850010
129694850022
129694960005
1297
129700960018
129701250051
129701730052
129702800061
129703020003
129703160178
129710440006
129710440014
129713370024
129713410004
129714010001
129720550001
129720920004
129721017
129721690004
129722980045
129723120076
129730080044
129730080084
129730080205
129733040004
129733160001
129733160002
129733200002
129733760002
129733840057
129734300016
129734400011
129734520071
129734890004
129734900006
129734920011
129735120004
129735720019
129735720075
129735720091
129735720164
129735760011
129735790038
129735790043
129735790053
129735800001
129736040001
129745433
129765246
12977
12978
1298 PL
129863
12987
1299
1299 P
12993
12998
1299P
12 0 66 320
13 188 01526
13 952 039 0009
13 956 017 0019
13/203/09310
13/288/61453
130/005/75408
130/079/75177
130/100/77105
130/107/80004
130/271/50793
130/313/31163
130/472/50362
130/486/33559
130/567/50059
130/5762/3238
130/688/03788
1300030000000
13003/01528
1301
130150465
13030
130320142
13033
130340
130425
130489489
13051
13053
130530941002
13055
130564846
130581131061
130594
130600781002
13063
13071
130711B
130765665107
13077
13078
13080
130816
130825447
130843179
130848505
130848982
130849071
13086
13088
13089
13093
130P
131
13101
13111
131185
131191804
13125
13126
1312604325
13127
13127/00060
13129
131292
13136/08014
13137
13137/01710
131379348
13138
13143
131438283
131449
13153
13154
131547910
13156
13158
13162
131641
13165
1316800038
131696
13170
13171/16006
1318
131819
13186
13187
13191
13194
132047
13205
13208/00090
132141
13224
132292
132306
132315654
13232
13235/27574
13239
1324206009
13244
13245
13250
13251821762
13253
13258410347
13259 KI
13261
13268
132688
1327
13271
132781470044
13285
13287
13303
13306
1331
1332
13326
133268733
13328
13329
13333 HL
13347
133480
133508
13353
133538504
13355
1335500780
13357
13358821579
13359
13361
13362
133705912
13372
133808
133846104
133898263
13396
134/217/30290
1340
13400
13403
13407
13409
1341
134136471
13418
134264
13430
13431
134331
13435
13439
13440
13443
13445
13449
13451B
134653976
13467
13477
13479
1348
134872114
134891016
13497
134990
135/5790/0106
13503
135043917
13505
13507
135086089
13509
135100
13513
13516
135196457
135196570
13538
13541
135422
13544
13547
135499
135502521
13553
13554
13557
135573576
13560
135763B
13581
13583
13585
13589
1359
13591
13593
13595
13597
13597968
13599
136075
13617
1362 BS
13621
136218
13627
13629
13630
136337520
136422
136433
136490
13658
136585321
1366
136620813
136621492
136725588
136725615
13676
136780363
136782867
136797
13682
13685 HL
13691
13694
137031
13707
137214816
137232002
13726
1373
13731
13732
137332821
13746
13752
137544
137556480
1376
13762
137866
137939
13795
13807
13811
13812
138145
13823
13827 HL
138512167
13854
13861
13870395
13888
139
139030000029
13914
139159
13921
139232
1393
13932
139411 B
1395
139510150029
139510160004
139510690020
139510780002
139520290003
139520560002
139520630030
139520650012
139520790004
139520890003
139520970021
139530200009
139530320001
139530360001
139530590015
139530600007
139530990007
139540130004
139540930001
139540980004
139541020032
139541090013
139541180001
139550690003
139550830009
139550840008
139560340005
139560490008
139570320011
139570620008
139570640010
139570650011
139570760006
139570790006
139570900026
139570970098
13958
139580150008
139580160010
139580330004
139580480008
139580540004
139580550006
139580580002
139580660022
139580710003
139580760005
139580980031
139581000005
139581020003
139581140018
13958250994
13958907749
13958984706
139590160009
139590280017
139590890005
139591100004
139600090002
139600570001
139600970019
139610250001
139610290008
139610320004
139610320008
139620460002
139620560006
139673
139710110020
139710320014
139710370015
139710470018
139710640001
139710780005
139711150026
139711280035
139711480048
139711720005
139720620049
139720950011
139721120009
139730180009
139730770005
139730890049
139740390010
139740680018
139740840012
139740930005
139750080003
139750490003
139750590001
139761530274
139863
139884
139898
13D0005
14 285 270 0383
14 6 28 030
14 729 280 0038
14 AR 129/20
14 HRB 0270
14-0563
14-0563.1
14/201/24452
14000
14002/65859
14002/73655
14002/74254
14002/75657
14002/79241
14003/63300
14004
14005/67243
14006
14006/71205
14008/65760
14008/66385
14008/66465
14008/69505
14010/61601
14010/64809
1401068255
14011/65408
1401262400
14021
14024/60802
14024/70208
1402962559
14032/64209
140334
14034/66306
14035/61575
14036/69609
140362420
14037/61203
14037/63406
140376716
1403867605
14039/68806
14043/70000
14045
14049
1405
14051/50103
14051/63938
14052
14055
14056/67001
14057
14058/67201
14059
14059/68055
140591
14062/63810
140624
1406263810
14064
14064/60284
14064/68225
14064/69450
140643
14065/16008
14065/20956
14065/22301
14065/38003
14065/42708
1406520956
1406524102
14067/21500
14067/23909
14067/24408
14068/23402
14071/21709
14073/25500
14073/25559
14074/22005
14076/22009
14079/23108
14079/24300
14079/34609
14080 / 01733
14081/07960
14084/11444
14085
14089
14090/11002
14093/42701
14098/10156
140994
141/133/00230
141030696
14105
14106/60016
14109
14112
14116/59128
14126
14129
14131
141339
141401
14153
14156
14163
141645
14165
14167
141719
14176/02445
141782200576
141785100675
141788091
14181
141822300098
14188
14191
14191/31258
14191300
14193
141931300123
141931400706
14195
14197
14199
142 843 002 075
14200
14202
14206/30002
142096
14224
14226
14247
14261/58042
142694
142721704980
14274
142802102209
142802102220
142816
142843002075
142850504500
142852700383
142853000384
142853301301
142853305202
142860
142903800349
14291
142922102562
14294
143 192 50167
143 242 00348 K47
143/111/80259
143/117/60379
143/155/80715
143/167/65050
143/186/10275
143/215/20392
143/235/01670
143/241/90350
143/242/70281
143040
14313
143178
1432
143200
1432200539
14323700258
143242
1433
14330
14330263718
14331
1433200822
14334
14335104480
14336040001
14343
143474
143550809040
14358231544
1436
14362
14366
143750200738
143751200741
143792302466
14380
143831000231
143832102021
143833300180
143833303644
143892800022
143895
1439
1439029265
144/229/13255
14402
14405/53010
14410/30014
144212
14431
14442
144427
144433
14445
14446
144474
14452
144567
1446
14467
14469
14471
144721
14473
14476
14478
144785 B
14479
14482
14483
14483/25118
14483/25126
14484
14499
144998
14502
14513
14521160
14521320
14521460
14521460020
14521530
14521570
145222500120
14523060
14524170
14524180
14532
14540
14542
14543
14547
14548
14550
14552
14554
14573
145740
145768
145811
145828
14593
14597
146
14601
1460758
14612
146120000114
14616
14618
1462
14620
14621
14623
14625120
14625240
14625480
14626060
14626110
14626140
14626410
14626430
14626500
146271300139
14641
14657
14658
14661 PI
14662
14670
146717
1468
14681
146828
14688
146886
146976
147/164/41130
14704 AG Bochum
14709
14711
147112 B
14712
14713
14713000
14714
1472
14723
147244B
147256
14727
147292890038
14730
147300500747
147302100065
147302100071
14730270
14744
14755
147556
14764
14770
14772
14773
14774
147744
14776
14778
14789
14790
14793
14797
14798
148000322
148006
14806
148083836
14822
148225276
14823
14827
148289
148314
148405
14845
148458
1486
1487
148735536
148908
148923
148963697
149115876
14913
149199093
14925
149276105
149276515
14929
1493
14931
149350
14943
1495
149513065
14957
149586
14959
1496
149603
14967
1497
14974
149781
14979
14986
149878114
149884
149893946
149944861
14HRA5519
15 0 86 015
15 284 19507
15 292 79581
15 865 015 0004
15/084/02447
15/290/30705
15/292/08006
15/292/29373
15/293/15451
150
15001000
15002000
15003000
15005
15007
1501
150160
15024
150250021
150269
150281
150285705
15029/11009
150383566
15040/05108
15040/17409
150401602
150424615
15045/16704
15050/09820
15050/12131
15050/15917
150509951
15052/00022
150587
15059/07707
15060/21558
150747
15080 / 20354
150821
15082241
15082430
150831153620
15083270
15083298
1508353
15084
15084355
15085
15085330
15085370
15086
15087
15090
15091
15091020
150932369
150936401
151/140/00393
15100
151025 B
15103
1511
15111
151179B
15120
151261
151307
151315327
15143/04801
151457
151511
15156
151590390004
151629
15168
15170
151700562
151707347
151753
151763
15181 HL
151820 B
15188/59205
151905003
152 456 661
1520200000001
1520200000003
1520200000004
152020000001
15204KI
152255
152280
15230
15232
15234
15236
152443
15252 Registergericht Gelsenkirchen
15255
1526
152610210014
152722
1528416353
1528538453
152888727
152944451
153
15306
153131366
15326
15340
15342 Stendal
15345
1535
15354
153580390001
15358039001
153620790001
153630820002
15366
153670050051
15368
15370
153700
15378
1538
153837
15384
153888
1539
15393
154050602339
15406
15414
154183
1543
154377348
154415236
154491
1545
15451
154510
15457
154613
15467
1547
15471
15476
154826261
154827
154871
15488
155
155/252/01004
1550
155070228
1551
15510
15517
15518
155182 B
155218541
15526
15537
15541
15546
155568
15558
1556
155612891
15562
155675
1557
15579
15580
15590
15594
156
156/168/18101
156017158
156083158
1562 PI
15633
156423
156474062
156484
15659
1566
156794
1568
156835
156891
157/144/00247
157/144/00875
157/288/04677
1570
15702
15704
15706
15709
1571
15710
157105
15711
15723
157235594
157292
15730
15732
15737
15741
157446
15746
157482
1574830460
15749
15753
15754
15755
1578
15790 FF
157986803
158
158/168/42207
158009
15806
1581
158146
15827
15831
15834
15835603603
15837
15838
15845
15848
158510144001
158520020001
158520050001
158520140004
158520374002
158530020003
158549
158550050004
158550070008
158550080003
158550360017
158550410003
158550444001
158550490003
158550500020
158550520003
158560030001
158560150005
158560200001
158560444003
158560950001
158570070001
158570080001
158570190009
158570270003
158570300004
158580050028
158580240008
158580640005
15859
158590230001
158590340003
1586
158600414001
158610064003
158610394002
158610419002
158620720003
158630060004
158630080005
158630610001
158630720021
158636
15864
158640030013
158640050003
158640160015
158650200003
158650370007
158650560002
158655116
15866
158660264002
158670010004
158670014002
158670094002
158680220001
158700090003
158700480001
158700520004
158701160001
158810260022
158811050031
158812400160
158821800040
158832980038
158834900025
158842100002
158843150026
158844150003
158845900039
158850550023
158851350021
158851850039
158851850060
158852300030
15888
158881500008
158883050051
158883190018
15889
158890150008
158890260033
158890260040
15890
158900700097
158904350024
158905200030
158905350101
158913750035
158913750036
15894
159
159053265
15907
15910
15926
1593
159303
159365364
15938
159393616
159415 München
159465
15966
159705
1598
159810
15986
15987
15989
159984428
16 235 04551
16/282/20402
16/282/20808
16/282/21001
160
160097524
160253
160461
160475004
16049
160501602
160527
16061/18730
160611160094
160620390079
160620620047
160620630078
160640220034
160640610019
160650020034
160650180023
160650460009
160660670041
160670260006
160670260007
160670260062
160670290048
160680070013
160680140085
160680160007
160680290046
160680290049
160690150006
160700130091
160710990335
160740860007
160741160058
160760590007
160770080041
160770290087
160770360052
160831
160853
161.135.050.48
161/105/16030
161/126/00454
161/144/09875
16105
161053832
1611
161109
16111/31007
161168
16117
1611902244
16121
161211
161234
16125/15200
16126
161349
16148 KI
161536534
16154
16168
161691
16170/30926
16173
161752B
161816
16183
16185
161864112
161894
16197
162 000 3215
162/144/11303
1620000420
16204
162144125
1622406692
1622490103
16225
162252321
1622590747
1622591676
162259185
16226
16227
1622707455
1622713392
16233/20009
16238
162420848
162421095
16244
16248
16249
16251
16258
16259
162595
162686427
16269
1627
16270
16270 (Amtsgericht München)
16274 F�rth
162752
16278
16282
1628220402
1628223052
162850
16294
163
163 000 0097
163/163/53308
16303
16306
16316
16316804709
16317
16320
163202B
16321
16323
163248
163349
16337
16341
16343
163431928
16348
16351
16356
16359
16364
16365
163653
1637
163703
163774242
163778
163804705
16385
1639
1640
16408
164119
16421
16437
164370
1644
164427
1645
1646
164677
16470
16471
16474
164836364
164840221
1649
16493
165
165/246/08638
1650
165037
16515
16520
165200
16523
165300 B
16536
16538
16540
16541
16546 Nürnberg
165468661
16547
16548
1655
165510
16552
165553
16556
16559
16575
16576
165814
16582
16586
165894176
16590
16593
165933
16594 Registergericht Coesfeld
16616
16621 HL
16647
16657
166662868
166696
1668
166818
16688
167
16700
16727
1673
167301
16740
16749
1675
167520
16760
16761
16766
16767
16775
167867371
1679
16792
16798
168/158/06402
168009
16810
16816
16818
16819
16827
16831
16835
168352 B
16845
16856
168569
1686
16866
16868
1687
16870
16871
1688
16884
169
169/248/60034
16903
16904
16909
1691
16915
